STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        232;19470101;-999;-999;-999;    5;   3.9;   7;    0.000;  16;   8.0;   4.5;  957.00;   -2.3;   93.00;    0.1;   -8.5;-999;eor
        232;19470102;-999;-999;-999;    5;   0.0;   1;    0.000;  18;   8.0;   4.1;  961.90;   -4.6;   92.00;    0.1;   -6.2;-999;eor
        232;19470103;-999;-999;-999;    5;   0.0;   0;    0.000;  18;   7.7;   4.4;  965.50;   -2.8;   89.00;   -1.0;   -6.6;-999;eor
        232;19470104;-999;-999;-999;    5;   0.0;   1;    2.000;  18;   4.3;   2.5;  966.20;   -9.4;   82.00;   -2.8;  -13.8;-999;eor
        232;19470105;-999;-999;-999;    5;   0.4;   7;    4.000;  18;   2.7;   1.5;  960.60;  -15.6;   76.00;   -9.8;  -17.6;-999;eor
        232;19470106;-999;-999;-999;    5;   0.0;   1;    7.600;  18;   0.0;   1.3;  954.30;  -16.6;   74.00;  -11.9;  -21.1;-999;eor
        232;19470107;-999;-999;-999;    5;   2.8;   7;    0.000;  18;   8.0;   2.0;  953.00;  -11.6;   81.00;   -9.8;  -21.8;-999;eor
        232;19470108;-999;-999;-999;    5;   1.7;   7;    0.000;  19;   8.0;   3.6;  955.60;   -5.4;   86.00;   -2.3;   -9.8;-999;eor
        232;19470109;-999;-999;-999;    5;   1.0;   1;    0.000;  20;   7.7;   5.6;  955.00;    0.1;   92.00;    2.7;   -7.9;-999;eor
        232;19470110;-999;-999;-999;    5;   5.1;   7;    0.000;  12;   8.0;   6.3;  956.70;    0.6;   97.00;    1.4;    0.2;-999;eor
        232;19470111;-999;-999;-999;    5;   6.8;   8;    0.000;  12;   7.7;   5.9;  951.60;    0.8;   93.00;    1.4;   -2.0;-999;eor
        232;19470112;-999;-999;-999;    5;   0.1;   1;    1.400;   8;   5.3;   6.9;  950.20;    3.2;   90.00;    4.3;    1.3;-999;eor
        232;19470113;-999;-999;-999;    5;  14.0;   8;    0.000;   5;   8.0;   7.1;  949.50;    3.7;   88.00;    5.6;   -1.9;-999;eor
        232;19470114;-999;-999;-999;    5;   1.1;   1;    3.600;   0;   6.0;   5.9;  959.80;    2.6;   79.00;    4.3;    1.8;-999;eor
        232;19470115;-999;-999;-999;    5;   0.0;   0;    3.900;   0;   4.7;   7.6;  967.80;    4.1;   87.00;    8.8;    1.8;-999;eor
        232;19470116;-999;-999;-999;    5;   0.0;   0;    8.500;   0;   1.3;   5.7;  967.80;    1.0;   85.00;    7.2;   -1.7;-999;eor
        232;19470117;-999;-999;-999;    5;   3.3;   1;    7.000;   0;   3.7;   5.6;  965.20;    4.4;   68.00;   11.5;   -2.8;-999;eor
        232;19470118;-999;-999;-999;    5;   0.0;   1;    3.400;   0;   4.7;   6.3;  970.60;    1.4;   89.00;    6.8;    0.1;-999;eor
        232;19470119;-999;-999;-999;    5;   2.8;   7;    0.000;   0;   7.7;   5.9;  964.70;    0.1;   94.00;    0.7;   -0.7;-999;eor
        232;19470120;-999;-999;-999;    5;   0.0;   7;    0.200;   2;   4.7;   4.0;  959.20;   -4.2;   89.00;   -0.2;   -8.0;-999;eor
        232;19470121;-999;-999;-999;    5;   1.3;   7;    0.500;   2;   7.3;   3.7;  959.80;   -4.3;   84.00;   -2.7;   -7.7;-999;eor
        232;19470122;-999;-999;-999;    5;   1.5;   7;    4.000;   4;   7.0;   3.1;  958.20;   -7.5;   77.00;   -2.7;  -12.2;-999;eor
        232;19470123;-999;-999;-999;    5;   1.3;   7;    0.000;   6;   8.0;   2.7;  960.00;  -10.1;   85.00;   -5.7;  -13.0;-999;eor
        232;19470124;-999;-999;-999;    5;   0.0;   0;    4.500;   8;   2.3;   1.9;  963.40;  -13.4;   80.00;   -7.3;  -16.7;-999;eor
        232;19470125;-999;-999;-999;    5;   0.0;   7;    4.500;   8;   4.7;   1.6;  954.70;  -14.2;   78.00;  -11.0;  -21.8;-999;eor
        232;19470126;-999;-999;-999;    5;   0.7;   7;    0.000;   8;   7.7;   2.4;  942.20;  -10.2;   81.00;   -7.4;  -14.0;-999;eor
        232;19470127;-999;-999;-999;    5;   0.0;   7;    3.100;   9;   7.0;   1.7;  948.80;  -13.0;   81.00;   -8.5;  -16.0;-999;eor
        232;19470128;-999;-999;-999;    5;   0.0;   0;    6.000;  10;   6.0;   1.9;  952.60;  -12.3;   76.00;   -9.3;  -15.6;-999;eor
        232;19470129;-999;-999;-999;    5;   0.2;   7;    2.000;  10;   6.3;   1.7;  954.40;  -13.0;   78.00;   -9.3;  -19.6;-999;eor
        232;19470130;-999;-999;-999;    5;   0.0;   7;    0.800;   9;   5.3;   2.4;  952.30;  -10.6;   85.00;   -8.0;  -13.9;-999;eor
        232;19470131;-999;-999;-999;    5;   0.0;   0;    0.000;   9;   7.3;   2.1;  952.20;  -12.2;   84.00;   -6.8;  -17.0;-999;eor
        232;19470201;-999;-999;-999;    5;   0.0;   0;    5.400;   9;   4.0;   2.1;  952.20;  -12.5;   80.00;   -6.3;  -17.0;-999;eor
        232;19470202;-999;-999;-999;    5;   0.0;   0;    5.000;   8;   6.0;   1.9;  947.20;  -11.6;   78.00;   -7.3;  -19.8;-999;eor
        232;19470203;-999;-999;-999;    5;   0.0;   0;    5.000;   6;   7.0;   2.9;  937.00;   -6.7;   79.00;   -3.1;  -10.8;-999;eor
        232;19470204;-999;-999;-999;    5;   2.7;   7;    0.400;   6;   8.0;   3.2;  930.60;   -5.8;   82.00;   -4.1;   -9.7;-999;eor
        232;19470205;-999;-999;-999;    5;   5.3;   7;    0.000;  10;   8.0;   3.6;  939.00;   -5.6;   88.00;   -4.2;   -7.2;-999;eor
        232;19470206;-999;-999;-999;    5;   1.0;   7;    0.100;  18;   7.7;   3.1;  950.80;   -7.0;   86.00;   -5.3;   -8.6;-999;eor
        232;19470207;-999;-999;-999;    5;   0.0;   0;    4.000;  20;   8.0;   3.1;  950.40;   -7.7;   85.00;   -5.0;   -9.4;-999;eor
        232;19470208;-999;-999;-999;    5;   1.8;   8;    3.800;  20;   7.0;   3.1;  943.40;   -6.2;   81.00;   -3.7;  -11.8;-999;eor
        232;19470209;-999;-999;-999;    5;   0.0;   0;    9.000;  20;   2.3;   5.6;  947.60;    0.5;   84.00;   10.6;   -6.2;-999;eor
        232;19470210;-999;-999;-999;    5;   0.0;   1;    0.000;  12;   8.0;   5.1;  946.60;   -1.6;   92.00;    0.2;   -3.7;-999;eor
        232;19470211;-999;-999;-999;    5;   0.0;   0;    3.500;  11;   7.0;   5.1;  948.30;   -0.3;   85.00;    3.3;   -4.0;-999;eor
        232;19470212;-999;-999;-999;    5;   0.0;   0;    6.500;  10;   2.7;   4.0;  949.00;   -4.3;   88.00;    0.8;   -6.7;-999;eor
        232;19470213;-999;-999;-999;    5;   0.1;   7;    0.000;   8;   8.0;   4.1;  950.40;   -4.3;   94.00;   -2.9;   -7.7;-999;eor
        232;19470214;-999;-999;-999;    5;   0.3;   1;    0.000;   8;   8.0;   4.3;  952.80;   -3.8;   92.00;   -2.8;   -4.5;-999;eor
        232;19470215;-999;-999;-999;    5;   2.9;   7;    0.000;   7;   8.0;   3.2;  955.60;   -6.2;   84.00;   -3.7;   -8.0;-999;eor
        232;19470216;-999;-999;-999;    5;   2.9;   7;    0.000;  10;   8.0;   3.2;  955.40;   -6.5;   86.00;   -4.6;   -7.2;-999;eor
        232;19470217;-999;-999;-999;    5;   0.0;   1;    0.500;  13;   8.0;   2.9;  952.60;   -7.1;   82.00;   -5.1;  -14.0;-999;eor
        232;19470218;-999;-999;-999;    5;   0.1;   7;    5.000;  13;   3.0;   2.8;  946.20;   -7.1;   79.00;   -2.7;   -9.8;-999;eor
        232;19470219;-999;-999;-999;    5;   6.5;   7;    0.000;  13;   8.0;   3.3;  943.90;   -6.0;   88.00;   -3.8;  -11.4;-999;eor
        232;19470220;-999;-999;-999;    5;   0.0;   7;    0.000;  15;   8.0;   3.5;  947.00;   -5.3;   83.00;   -4.2;   -6.3;-999;eor
        232;19470221;-999;-999;-999;    5;   9.3;   8;    0.000;  15;   8.0;   5.5;  939.60;    0.5;   90.00;    3.9;   -6.6;-999;eor
        232;19470222;-999;-999;-999;    5;   5.9;   8;    0.000;  10;   8.0;   8.1;  935.20;    6.2;   87.00;    8.3;    0.8;-999;eor
        232;19470223;-999;-999;-999;    5;   0.0;   1;    0.000;   5;   8.0;   4.7;  948.20;   -1.5;   81.00;    6.9;   -2.9;-999;eor
        232;19470224;-999;-999;-999;    5;   0.0;   1;    2.200;   4;   4.7;   3.2;  951.40;   -4.5;   75.00;   -2.0;   -6.1;-999;eor
        232;19470225;-999;-999;-999;    5;   3.9;   7;    0.000;   3;   8.0;   3.3;  945.20;   -6.6;   88.00;   -4.1;   -7.3;-999;eor
        232;19470226;-999;-999;-999;    5;   0.0;   0;    8.000;  10;   2.7;   3.1;  955.00;   -6.2;   79.00;   -1.6;   -9.9;-999;eor
        232;19470227;-999;-999;-999;    5;   0.0;   0;    7.600;  10;   7.3;   2.8;  945.10;   -5.8;   73.00;    1.8;  -14.4;-999;eor
        232;19470228;-999;-999;-999;    5;   0.0;   8;    1.200;   3;   7.3;   4.7;  937.40;   -1.3;   82.00;    3.3;   -9.2;-999;eor
        232;19470301;-999;-999;-999;    5;   0.9;   7;    4.800;   3;   3.0;   3.5;  946.40;   -3.3;   71.00;    0.2;   -4.9;-999;eor
        232;19470302;-999;-999;-999;    5;   0.0;   0;    9.600;   3;   1.7;   2.9;  954.80;   -4.1;   65.00;    0.1;   -7.6;-999;eor
        232;19470303;-999;-999;-999;    5;   0.0;   7;    6.700;   3;   7.0;   2.9;  956.30;   -4.6;   69.00;    0.6;  -12.3;-999;eor
        232;19470304;-999;-999;-999;    5;   0.2;   8;    0.700;   3;   7.3;   4.8;  952.80;   -1.2;   86.00;    2.9;   -5.4;-999;eor
        232;19470305;-999;-999;-999;    5;   2.6;   1;    0.000;   2;   8.0;   7.1;  938.80;    4.2;   88.00;    5.7;   -1.0;-999;eor
        232;19470306;-999;-999;-999;    5;   1.7;   1;    8.300;   0;   5.7;   7.3;  941.10;    5.9;   77.00;   13.7;    2.6;-999;eor
        232;19470307;-999;-999;-999;    5;   0.8;   8;    0.300;   0;   7.7;   6.8;  943.20;    2.4;   86.00;    8.2;   -1.4;-999;eor
        232;19470308;-999;-999;-999;    5;   0.0;   0;    1.000;   1;   7.7;   3.7;  954.60;   -2.3;   71.00;   -0.7;   -4.3;-999;eor
        232;19470309;-999;-999;-999;    5;   0.0;   0;    8.500;   0;   1.0;   4.0;  962.00;    0.1;   67.00;    4.4;   -5.2;-999;eor
        232;19470310;-999;-999;-999;    5;  20.9;   8;    0.000;   0;   8.0;   5.9;  956.00;    0.2;   95.00;    1.0;   -3.5;-999;eor
        232;19470311;-999;-999;-999;    5;   3.2;   1;    2.400;   0;   7.3;   8.0;  943.40;    6.8;   78.00;   10.7;    0.7;-999;eor
        232;19470312;-999;-999;-999;    5;   1.0;   8;    0.000;   0;   8.0;   6.5;  956.00;    1.8;   91.00;    6.5;    0.8;-999;eor
        232;19470313;-999;-999;-999;    5;   0.7;   1;    4.000;   0;   8.0;   8.0;  948.80;    7.4;   81.00;   11.3;    0.8;-999;eor
        232;19470314;-999;-999;-999;    5;   3.2;   8;    6.200;   0;   6.3;   8.7;  942.70;    9.0;   74.00;   12.2;    6.3;-999;eor
        232;19470315;-999;-999;-999;    5;   1.4;   7;    1.600;   0;   5.0;   4.8;  961.10;   -1.0;   82.00;    7.8;   -2.7;-999;eor
        232;19470316;-999;-999;-999;    5;   0.0;   1;    6.400;   0;   7.0;   5.7;  956.70;    2.4;   81.00;    6.3;   -4.5;-999;eor
        232;19470317;-999;-999;-999;    5;   0.1;   1;    4.000;   0;   7.0;   9.2;  953.50;   10.8;   70.00;   15.8;    2.4;-999;eor
        232;19470318;-999;-999;-999;    5;   0.0;   0;    7.200;   0;   7.7;   8.4;  950.40;   12.6;   57.00;   19.4;    7.0;-999;eor
        232;19470319;-999;-999;-999;    5;   0.6;   1;    0.000;   0;   7.7;   8.8;  943.50;    6.8;   88.00;   13.8;    6.0;-999;eor
        232;19470320;-999;-999;-999;    5;   5.4;   1;    4.000;   0;   6.7;   8.1;  943.50;    6.0;   84.00;   11.0;    4.2;-999;eor
