STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        282;19490101;-999;-999;-999;    5;   0.0;   1;-999;   0;   8.0;   4.8;    -999;    3.8;   62.00;    6.0;    0.2;    0.3;eor
        282;19490102;-999;-999;-999;    5;   8.2;   8;-999;   0;   8.0;   6.4;    -999;    2.7;   86.00;    5.9;    1.7;    1.1;eor
        282;19490103;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.7;   6.4;    -999;    2.7;   86.00;    4.7;    1.3;   -0.3;eor
        282;19490104;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   5.6;    -999;    1.8;   82.00;    5.3;   -0.7;   -2.3;eor
        282;19490105;-999;-999;-999;    5;   0.0;   1;-999;   0;   8.0;   6.4;    -999;    2.6;   85.00;    4.0;    1.7;   -0.3;eor
        282;19490106;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   6.4;    -999;    1.2;   95.00;    2.5;    0.6;    0.3;eor
        282;19490107;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   5.1;    -999;   -1.5;   91.00;    0.6;   -1.7;   -1.3;eor
        282;19490108;-999;-999;-999;    5;   0.1;   8;-999;   0;   8.0;   5.2;    -999;   -1.2;   94.00;   -0.5;   -2.1;   -2.1;eor
        282;19490109;-999;-999;-999;    5;   2.2;   7;-999;   1;   7.3;   5.5;    -999;    0.6;   84.00;    2.1;   -1.0;   -1.4;eor
        282;19490110;-999;-999;-999;    5;   0.0;   0;-999;   3;   7.0;   3.7;    -999;   -4.5;   87.00;    1.0;  -10.5;  -11.5;eor
        282;19490111;-999;-999;-999;    5;   3.0;   7;-999;   2;   8.0;   4.3;    -999;   -3.2;   88.00;   -2.4;   -5.3;   -7.5;eor
        282;19490112;-999;-999;-999;    5;   0.5;   7;-999;   6;   6.0;   6.0;    -999;    0.8;   92.00;    2.2;   -3.6;   -6.5;eor
        282;19490113;-999;-999;-999;    5;   0.0;   0;-999;   6;   7.3;   5.2;    -999;    0.2;   83.00;    2.1;   -1.8;   -4.9;eor
        282;19490114;-999;-999;-999;    5;   1.9;   8;-999;   5;   8.0;   5.9;    -999;    1.2;   89.00;    2.0;   -1.5;   -2.4;eor
        282;19490115;-999;-999;-999;    5;   0.6;   7;-999;   4;   7.3;   6.4;    -999;    2.0;   87.00;    4.0;    0.2;    0.7;eor
        282;19490116;-999;-999;-999;    5;   4.6;   1;-999;   2;   8.0;   6.5;    -999;    3.1;   90.00;    6.6;   -2.1;   -8.7;eor
        282;19490117;-999;-999;-999;    5;   1.5;   1;-999;   1;   8.0;   7.9;    -999;    4.6;   93.00;    5.5;    3.1;   -0.8;eor
        282;19490118;-999;-999;-999;    5;   0.8;   1;-999;   0;   7.7;   8.1;    -999;    6.1;   85.00;    7.2;    4.8;    3.6;eor
        282;19490119;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   8.9;    -999;    7.9;   84.00;    8.8;    5.3;    4.2;eor
        282;19490120;-999;-999;-999;    5;   0.4;   1;-999;   0;   8.0;   7.9;    -999;    6.5;   82.00;    8.8;    5.8;    6.1;eor
        282;19490121;-999;-999;-999;    5;   2.3;   8;-999;   0;   7.3;   6.5;    -999;    3.5;   82.00;    6.7;    1.6;    2.6;eor
        282;19490122;-999;-999;-999;    5;   0.6;   8;-999;   0;   4.0;   6.0;    -999;    1.1;   88.00;    4.6;   -0.6;    0.7;eor
        282;19490123;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   4.8;    -999;   -2.3;   94.00;    0.0;   -3.5;   -3.3;eor
        282;19490124;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.0;   4.7;    -999;   -2.4;   91.00;    0.5;   -3.4;   -3.6;eor
        282;19490125;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.3;   5.1;    -999;   -1.0;   90.00;    3.8;   -5.0;   -5.2;eor
        282;19490126;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.3;   4.3;    -999;   -1.8;   81.00;    5.3;   -6.9;   -7.8;eor
        282;19490127;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.0;   4.1;    -999;   -2.4;   82.00;    3.5;   -7.6;   -8.5;eor
        282;19490128;-999;-999;-999;    5;   0.0;   0;-999;   0;   3.3;   4.4;    -999;   -2.2;   87.00;    1.5;   -6.2;   -8.1;eor
        282;19490129;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   4.8;    -999;   -1.5;   87.00;    5.0;   -5.4;   -5.9;eor
        282;19490130;-999;-999;-999;    5;   0.0;   8;-999;   0;   7.3;   4.7;    -999;   -2.6;   96.00;   -0.3;   -5.9;   -6.6;eor
        282;19490131;-999;-999;-999;    5;   1.0;   8;-999;   0;   8.0;   5.7;    -999;    1.8;   83.00;    3.5;   -2.3;   -3.3;eor
        282;19490201;-999;-999;-999;    5;   0.9;   7;-999;   0;   4.3;   3.9;    -999;   -3.6;   79.00;    0.8;   -5.2;   -3.8;eor
        282;19490202;-999;-999;-999;    5;   0.0;   1;-999;   0;   5.3;   2.9;    -999;   -7.6;   82.00;   -2.3;  -10.8;  -12.3;eor
        282;19490203;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.7;   3.2;    -999;   -5.8;   83.00;   -1.1;  -13.0;  -13.8;eor
        282;19490204;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.3;   3.3;    -999;   -6.2;   84.00;    2.0;  -11.8;  -12.5;eor
        282;19490205;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.3;   3.6;    -999;   -4.7;   87.00;   -1.2;  -12.8;  -13.3;eor
        282;19490206;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.7;   4.7;    -999;   -2.0;   85.00;    3.0;   -4.8;  -11.3;eor
        282;19490207;-999;-999;-999;    5;   0.0;   0;-999;   0;   6.0;   3.9;    -999;   -5.0;   94.00;   -2.5;  -10.2;  -11.7;eor
        282;19490208;-999;-999;-999;    5;   0.3;   1;-999;   0;   6.3;   5.9;    -999;    2.2;   84.00;    6.3;   -5.6;   -6.9;eor
        282;19490209;-999;-999;-999;    5;   8.4;   1;-999;   0;   8.0;   8.5;    -999;    7.2;   88.00;   11.0;    2.2;    0.5;eor
        282;19490210;-999;-999;-999;    5;   1.2;   8;-999;   0;   5.7;   5.9;    -999;    2.8;   78.00;   11.1;    1.4;    0.3;eor
        282;19490211;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.3;   5.5;    -999;    0.6;   85.00;    4.9;   -1.0;   -1.5;eor
        282;19490212;-999;-999;-999;    5;   0.0;   0;-999;   0;   5.7;   4.5;    -999;   -0.1;   76.00;    3.0;   -3.4;   -2.7;eor
        282;19490213;-999;-999;-999;    5;   0.0;   0;-999;   0;   1.0;   4.4;    -999;   -0.5;   75.00;    4.2;   -3.1;   -4.1;eor
        282;19490214;-999;-999;-999;    5;   0.0;   1;-999;   0;   3.3;   4.7;    -999;    0.3;   77.00;    6.2;   -5.3;   -6.2;eor
        282;19490215;-999;-999;-999;    5;   0.1;   1;-999;   0;   8.0;   6.4;    -999;    1.3;   96.00;    2.5;   -1.9;   -3.0;eor
        282;19490216;-999;-999;-999;    5;   0.0;   0;-999;   0;   8.0;   7.1;    -999;    3.3;   91.00;    5.7;    1.8;    0.9;eor
