STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        427;19670101;-999;-999;-999;    5;   1.0;   8;-999;-999;   6.4;   7.0; 1004.00;    3.6;   88.00;    6.8;    2.1;    1.0;eor
        427;19670102;-999;-999;-999;    5;   3.3;   8;-999;-999;   7.9;   6.2; 1002.50;    2.2;   87.00;    3.0;    0.7;   -0.1;eor
        427;19670103;-999;-999;-999;    5;   3.1;   8;-999;-999;   7.1;   6.1; 1002.20;    1.2;   92.00;    2.9;    0.0;    0.6;eor
        427;19670104;-999;-999;-999;    5;   0.2;   7;-999;-999;   6.1;   5.4; 1004.50;   -0.8;   92.00;    0.5;   -3.0;   -4.3;eor
        427;19670105;-999;-999;-999;    5;   1.5;   7;-999;-999;   6.0;   5.2; 1002.30;   -1.5;   95.00;   -0.4;   -3.0;   -5.1;eor
        427;19670106;-999;-999;-999;    5;   0.1;   7;-999;-999;   7.8;   4.4; 1011.70;   -2.8;   89.00;   -1.9;   -4.0;   -6.4;eor
        427;19670107;-999;-999;-999;    5;   0.9;   7;-999;-999;   7.5;   4.2; 1014.00;   -3.2;   86.00;   -2.6;   -4.5;   -4.0;eor
        427;19670108;-999;-999;-999;    5;   0.0;   8;-999;-999;   5.1;   2.9; 1012.90;   -8.6;   90.00;   -2.9;  -10.5;  -14.1;eor
        427;19670109;-999;-999;-999;    5;   0.0;   8;-999;-999;   5.5;   2.3; 1013.60;  -10.8;   85.00;   -9.5;  -13.2;  -11.0;eor
        427;19670110;-999;-999;-999;    5;   0.3;   8;-999;-999;   6.4;   2.4; 1009.50;  -10.8;   86.00;   -5.5;  -16.0;  -17.1;eor
        427;19670111;-999;-999;-999;    5;   6.1;   8;-999;-999;   8.0;   5.6;  992.90;   -0.4;   93.00;    1.5;   -5.5;   -6.1;eor
        427;19670112;-999;-999;-999;    5;   4.1;   8;-999;-999;   5.1;   5.8; 1005.20;    0.2;   93.00;    2.4;   -2.2;   -3.7;eor
        427;19670113;-999;-999;-999;    5;   1.9;   1;-999;-999;   8.0;   7.4; 1009.10;    3.4;   95.00;    5.4;    0.0;   -0.1;eor
        427;19670114;-999;-999;-999;    5;   0.0;   0;-999;-999;   3.3;   6.9; 1015.50;    3.3;   89.00;    6.5;    1.2;    2.5;eor
        427;19670115;-999;-999;-999;    5;   0.3;   1;-999;-999;   6.5;   6.9; 1024.20;    2.5;   94.00;    4.4;   -0.8;   -2.5;eor
