STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
        701;19490101;-999;-999;-999;    5;   0.7;   1;    0.000;   0;   7.0;   7.1;  980.70;    5.4;   80.00;    6.7;    2.1;-999;eor
        701;19490102;-999;-999;-999;    5;   0.0;   0;    4.700;   0;   3.0;   6.5;  987.40;    5.2;   72.00;    6.8;    3.9;-999;eor
        701;19490103;-999;-999;-999;    5;   3.7;   8;    0.000;   0;   6.3;   6.9;  997.50;    2.3;   93.00;    4.8;    1.0;-999;eor
        701;19490104;-999;-999;-999;    5;   0.3;   8;    2.900;   1;   6.0;   6.1; 1009.00;    1.7;   88.00;    2.1;    0.9;-999;eor
        701;19490105;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   7.7;   6.9; 1023.80;    3.4;   90.00;    4.2;    1.8;-999;eor
        701;19490106;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   8.0;   8.4; 1033.20;    5.8;   92.00;    6.4;    3.5;-999;eor
        701;19490107;-999;-999;-999;    5;   0.1;   1;    0.000;   0;   8.0;   8.4; 1028.00;    5.2;   93.00;    6.7;    4.5;-999;eor
        701;19490108;-999;-999;-999;    5;   2.1;   1;    0.000;   0;   8.0;   7.2; 1010.30;    4.4;   86.00;    5.6;    3.7;-999;eor
        701;19490109;-999;-999;-999;    5;   2.4;   8;    3.500;   0;   3.0;   6.3; 1019.40;    2.3;   84.00;    4.4;    0.7;-999;eor
        701;19490110;-999;-999;-999;    5;   0.0;   0;    0.200;   1;   7.0;   5.5; 1021.00;   -0.5;   95.00;    0.6;   -2.5;-999;eor
        701;19490111;-999;-999;-999;    5;   1.1;   8;    0.000;   0;   8.0;   7.1; 1004.20;    3.3;   94.00;    4.2;    0.5;-999;eor
        701;19490112;-999;-999;-999;    5;   1.8;   8;    2.400;   0;   5.7;   6.7; 1007.60;    3.6;   85.00;    4.4;    2.0;-999;eor
        701;19490113;-999;-999;-999;    5;   0.2;   1;    1.900;   0;   6.3;   6.5; 1027.20;    3.5;   84.00;    4.4;    2.1;-999;eor
        701;19490114;-999;-999;-999;    5;   2.4;   1;    0.000;   0;   6.3;   8.4; 1017.60;    5.4;   93.00;    6.2;    3.1;-999;eor
        701;19490115;-999;-999;-999;    5;   0.0;   0;    1.700;   0;   5.3;   6.1; 1018.60;    3.7;   75.00;    5.0;    2.6;-999;eor
        701;19490116;-999;-999;-999;    5;   1.5;   1;    0.000;   0;   8.0;   7.6; 1008.30;    4.7;   91.00;    6.3;    1.3;-999;eor
        701;19490117;-999;-999;-999;    5;   2.0;   1;    0.000;   0;   6.7;   8.4; 1008.30;    6.2;   90.00;    7.0;    3.7;-999;eor
        701;19490118;-999;-999;-999;    5;   0.7;   1;    4.800;   0;   5.3;   7.9; 1011.40;    6.0;   85.00;    7.8;    4.4;-999;eor
        701;19490119;-999;-999;-999;    5;   3.8;   1;    0.000;   0;   8.0;   9.2; 1009.00;    7.7;   88.00;    8.0;    5.8;-999;eor
        701;19490120;-999;-999;-999;    5;   4.0;   1;    0.100;   0;   4.0;   7.3; 1006.60;    5.6;   81.00;    8.0;    4.2;-999;eor
        701;19490121;-999;-999;-999;    5;   2.4;   1;    3.200;   0;   6.3;   7.1; 1002.30;    4.3;   84.00;    6.0;    2.7;-999;eor
        701;19490122;-999;-999;-999;    5;   0.0;   0;    6.500;   0;   2.3;   5.6; 1024.30;    2.2;   75.00;    5.0;    0.0;-999;eor
        701;19490123;-999;-999;-999;    5;   0.0;   0;    2.800;   0;   4.7;   6.4; 1026.60;    2.8;   84.00;    5.2;   -0.4;-999;eor
        701;19490124;-999;-999;-999;    5;   1.7;   1;    0.000;   0;   4.7;   6.8; 1025.80;    2.8;   91.00;    4.0;    1.0;-999;eor
        701;19490125;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   8.0;   5.9; 1036.80;    0.1;   96.00;    3.7;   -1.4;-999;eor
        701;19490126;-999;-999;-999;    5;   0.0;   0;    3.500;   0;   2.7;   5.6; 1033.40;    0.4;   90.00;    2.5;   -2.2;-999;eor
        701;19490127;-999;-999;-999;    5;   0.0;   0;    0.100;   0;   7.7;   6.8; 1034.80;    2.8;   92.00;    4.1;    0.3;-999;eor
        701;19490128;-999;-999;-999;    5;   0.0;   0;    5.000;   0;   2.3;   6.4; 1036.20;    2.8;   85.00;    5.4;    1.7;-999;eor
        701;19490129;-999;-999;-999;    5;   0.2;   1;    6.100;   0;   0.0;   6.7; 1036.40;    2.9;   88.00;    5.8;   -0.2;-999;eor
        701;19490130;-999;-999;-999;    5;   0.0;   1;    6.400;   0;   3.0;   6.8; 1031.50;    4.5;   81.00;    5.5;    2.6;-999;eor
        701;19490131;-999;-999;-999;    5;   0.5;   1;    0.300;   0;   5.3;   6.8; 1025.90;    3.0;   88.00;    5.1;    2.1;-999;eor
        701;19490201;-999;-999;-999;    5;   0.0;   1;    7.700;   0;   0.7;   4.5; 1031.80;    1.1;   68.00;    3.8;   -0.9;-999;eor
        701;19490202;-999;-999;-999;    5;   0.0;   0;    7.700;   0;   1.0;   4.7; 1042.00;   -0.3;   80.00;    2.2;   -3.1;-999;eor
        701;19490203;-999;-999;-999;    5;   0.0;   0;    8.100;   0;   0.0;   4.5; 1040.80;    0.0;   72.00;    2.5;   -1.1;-999;eor
        701;19490204;-999;-999;-999;    5;   0.0;   0;    1.700;   0;   5.7;   6.1; 1034.00;    2.5;   85.00;    4.2;   -1.2;-999;eor
        701;19490205;-999;-999;-999;    5;   0.4;   1;    0.000;   0;   5.3;   7.3; 1030.60;    2.8;   95.00;    4.7;    1.5;-999;eor
        701;19490206;-999;-999;-999;    5;   0.0;   0;    0.500;   0;   5.3;   5.9; 1033.60;    0.9;   90.00;    3.2;   -1.8;-999;eor
        701;19490207;-999;-999;-999;    5;   0.3;   1;    2.700;   0;   2.7;   5.7; 1026.20;    0.0;   95.00;    2.1;   -2.7;-999;eor
        701;19490208;-999;-999;-999;    5;   3.0;   1;    0.000;   0;   6.7;   7.3; 1016.80;    3.9;   92.00;    5.4;    0.6;-999;eor
        701;19490209;-999;-999;-999;    5;   6.3;   1;    0.000;   0;   6.0;   7.1; 1005.10;    4.2;   88.00;    7.5;    1.4;-999;eor
        701;19490210;-999;-999;-999;    5;   1.0;   1;    3.500;   0;   3.7;   7.3; 1008.00;    4.4;   87.00;    5.4;    2.6;-999;eor
        701;19490211;-999;-999;-999;    5;   0.3;   1;    6.100;   0;   4.3;   7.2; 1021.60;    3.0;   94.00;    5.2;    1.9;-999;eor
        701;19490212;-999;-999;-999;    5;   1.0;   1;    0.000;   0;   8.0;   6.9; 1017.00;    2.7;   95.00;    3.2;    1.4;-999;eor
        701;19490213;-999;-999;-999;    5;   0.0;   0;    5.900;   0;   1.0;   6.7; 1022.00;    3.4;   85.00;    6.2;    0.3;-999;eor
        701;19490214;-999;-999;-999;    5;   1.6;   1;    0.000;   0;   8.0;   8.3; 1019.80;    5.8;   92.00;    6.9;    2.7;-999;eor
        701;19490215;-999;-999;-999;    5;   1.0;   1;    0.000;   0;   8.0;   9.5; 1024.70;    7.6;   92.00;    7.8;    6.8;-999;eor
        701;19490216;-999;-999;-999;    5;   0.0;   1;    0.000;   0;   6.3;   9.2; 1027.60;    7.4;   91.00;    8.0;    6.9;-999;eor
        701;19490217;-999;-999;-999;    5;   0.0;   0;    6.300;   0;   2.7;   8.7; 1026.00;    6.4;   88.00;    9.9;    4.2;-999;eor
        701;19490218;-999;-999;-999;    5;   0.0;   0;    4.500;   0;   4.3;   8.0; 1024.40;    5.2;   92.00;    9.3;    0.1;-999;eor
        701;19490219;-999;-999;-999;    5;   0.0;   1;    4.100;   0;   3.3;   7.7; 1025.40;    4.4;   91.00;    8.0;    1.8;-999;eor
        701;19490220;-999;-999;-999;    5;   0.0;   0;    0.000;   0;   5.3;   7.6; 1028.20;    3.8;   94.00;    8.0;   -0.3;-999;eor
        701;19490221;-999;-999;-999;    5;   0.4;   1;    8.200;   0;   3.3;   9.2; 1024.80;    9.2;   80.00;   12.8;    3.3;-999;eor
        701;19490222;-999;-999;-999;    5;   0.6;   1;    6.100;   0;   7.0;   7.7; 1024.00;    6.6;   79.00;    9.4;    5.4;-999;eor
        701;19490223;-999;-999;-999;    5;   1.4;   1;    0.000;   0;   5.3;   9.7; 1020.60;    7.6;   91.00;    8.8;    6.3;-999;eor
        701;19490224;-999;-999;-999;    5;   0.0;   0;    6.600;   0;   4.0;   7.6; 1023.90;    5.6;   84.00;    7.5;    3.3;-999;eor
        701;19490225;-999;-999;-999;    5;   0.4;   1;    8.100;   0;   3.7;   7.5; 1026.00;    5.2;   84.00;    6.7;    3.9;-999;eor
        701;19490226;-999;-999;-999;    5;   3.7;   1;    0.000;   0;   8.0;   8.5; 1014.60;    6.5;   89.00;    7.5;    3.4;-999;eor
        701;19490227;-999;-999;-999;    5;   5.4;   8;    3.400;   0;   6.0;   6.9;  999.80;    4.4;   82.00;    7.3;    2.5;-999;eor
        701;19490228;-999;-999;-999;    5;  20.4;   8;    8.000;   0;   4.0;   6.1; 1014.60;    3.6;   77.00;    5.3;    1.8;-999;eor
        701;19490301;-999;-999;-999;    5;   1.4;   8;    1.100;   0;   5.0;   5.6;  995.80;    2.6;   73.00;    6.2;    1.6;-999;eor
        701;19490302;-999;-999;-999;    5;   1.6;   7;    8.700;   0;   4.0;   4.4; 1022.20;    0.4;   71.00;    1.6;   -1.7;-999;eor
        701;19490303;-999;-999;-999;    5;   0.0;   0;    7.400;   2;   1.3;   4.3; 1025.80;   -1.0;   76.00;    2.2;   -4.9;-999;eor
        701;19490304;-999;-999;-999;    5;   0.0;   0;    8.800;   0;   0.7;   3.9; 1030.70;   -1.8;   72.00;    1.6;   -3.5;-999;eor
        701;19490305;-999;-999;-999;    5;   0.0;   1;    6.000;   0;   5.7;   3.5; 1025.50;   -3.7;   74.00;   -2.3;   -5.4;-999;eor
        701;19490306;-999;-999;-999;    5;   1.0;   7;    0.000;   0;   7.7;   4.9; 1017.50;   -1.3;   87.00;   -0.4;   -4.1;-999;eor
        701;19490307;-999;-999;-999;    5;   0.0;   1;    6.000;   1;   2.7;   3.9; 1018.70;   -3.4;   78.00;   -1.2;   -5.0;-999;eor
        701;19490308;-999;-999;-999;    5;   0.0;   0;    9.000;   0;   3.0;   3.7; 1021.40;   -3.4;   80.00;   -1.0;   -8.4;-999;eor
