STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1048;19340101;-999;-999;-999;    1;   0.2;   8;-999;   0;   8.0;   6.4; 1008.60;    0.5;   97.00;    0.7;    0.2;-999;eor
       1048;19340102;-999;-999;-999;    1;   0.1;   7;-999;   0;   8.0;   5.9; 1006.20;   -0.1;   90.00;    0.9;   -0.8;-999;eor
       1048;19340103;-999;-999;-999;    1;   0.0;   0;-999;   0;   8.0;   5.2; 1001.60;   -0.7;   85.00;   -0.1;   -1.0;-999;eor
       1048;19340104;-999;-999;-999;    1;   0.0;   1;-999;   0;   8.0;   4.8; 1001.40;   -1.6;   82.00;   -0.3;   -3.5;-999;eor
       1048;19340105;-999;-999;-999;    1;  10.1;   8;-999;   0;   5.3;   6.3;  996.00;    0.9;   92.00;    2.8;   -3.8;-999;eor
       1048;19340106;-999;-999;-999;    1;   0.0;   1;-999;   0;   8.0;   6.4; 1009.60;    2.0;   87.00;    2.5;    0.7;-999;eor
       1048;19340107;-999;-999;-999;    1;   0.2;   1;-999;   0;   6.0;   5.9; 1010.30;    1.8;   80.00;    3.9;    0.2;-999;eor
       1048;19340108;-999;-999;-999;    1;   0.2;   7;-999;   0;   5.0;   5.1; 1003.30;    1.7;   71.00;    6.8;   -3.1;-999;eor
       1048;19340109;-999;-999;-999;    1;   0.0;   1;-999;   0;   8.0;   5.5; 1009.20;    0.1;   84.00;    2.9;   -1.1;-999;eor
       1048;19340110;-999;-999;-999;    1;   0.0;   0;-999;   0;   2.7;   5.2; 1013.40;   -0.9;   83.00;    1.4;   -2.5;-999;eor
       1048;19340111;-999;-999;-999;    1;   0.0;   0;-999;   0;   1.7;   4.3; 1005.30;   -1.9;   74.00;    1.2;   -3.7;-999;eor
       1048;19340112;-999;-999;-999;    1;   7.9;   1;-999;   0;   5.0;   4.0;  995.60;   -2.8;   75.00;   -1.5;   -4.6;-999;eor
       1048;19340113;-999;-999;-999;    1;   3.1;   1;-999;   0;   6.7;   5.7;  989.30;    0.4;   87.00;    1.8;   -3.8;-999;eor
       1048;19340114;-999;-999;-999;    1;   3.5;   1;-999;   1;   6.0;   5.6;  990.30;    1.9;   75.00;    4.3;   -0.5;-999;eor
       1048;19340115;-999;-999;-999;    1;   2.9;   8;-999;   0;   6.7;   6.7;  981.60;    4.2;   77.00;    6.6;   -0.1;-999;eor
       1048;19340116;-999;-999;-999;    1;   0.0;   1;-999;   0;   6.0;   5.9;  988.90;    3.3;   73.00;    5.9;   -0.9;-999;eor
       1048;19340117;-999;-999;-999;    1;   0.6;   1;-999;   0;   7.7;   6.1;  999.80;    4.1;   71.00;    4.8;    1.3;-999;eor
       1048;19340118;-999;-999;-999;    1;   0.1;   1;-999;   0;   8.0;   8.9;  990.40;    9.6;   75.00;   11.6;    3.1;-999;eor
       1048;19340119;-999;-999;-999;    1;   0.0;   0;-999;   0;   4.7;   7.7;  990.20;    7.6;   67.00;   11.8;    3.8;-999;eor
       1048;19340120;-999;-999;-999;    1;   0.5;   8;-999;   0;   6.3;   5.6; 1004.60;    1.8;   77.00;    4.4;    0.1;-999;eor
