STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1639;19390101;    5;-999;   2.1;    5;   9.2;   8;    0.000;  19;   8.0;   6.3;  979.60;    1.4;   95.00;    3.0;   -2.0;   -2.4;eor
       1639;19390102;    5;-999;   2.8;    5;   1.5;   1;    0.400;  12;   7.0;   6.8;  975.40;    3.2;   88.00;    5.3;    2.5;    0.3;eor
       1639;19390103;    5;-999;   3.4;    5;   0.0;   1;    0.000;  12;   7.3;   6.4;  981.10;    1.5;   93.00;    2.0;    1.1;    0.0;eor
       1639;19390104;    5;-999;   3.5;    5;   0.0;   7;    2.700;   8;   7.0;   4.8;  984.80;    0.7;   75.00;    1.5;   -0.2;   -1.0;eor
       1639;19390105;    5;-999;   3.3;    5;   0.2;   8;    0.000;   7;   8.0;   6.1;  980.00;    1.2;   91.00;    3.0;    0.4;   -0.2;eor
       1639;19390106;    5;-999;   2.9;    5;   0.0;   7;    0.000;   5;   6.0;   4.7;  994.30;   -0.8;   81.00;    1.5;   -3.5;   -1.4;eor
       1639;19390107;    5;-999;   2.1;    5;   0.0;   1;    4.100;   4;   6.3;   3.6; 1003.40;   -3.9;   82.00;    0.7;   -8.5;   -8.8;eor
       1639;19390108;    5;-999;   2.5;    5;   0.0;   1;    0.000;   3;   8.0;   7.1;  997.40;    4.4;   85.00;    6.0;   -2.9;   -3.4;eor
       1639;19390109;    5;-999;   2.8;    5;   0.0;   1;    3.000;   3;   6.7;   7.2;  991.60;    5.0;   82.00;    5.6;    3.7;    1.0;eor
       1639;19390110;    5;-999;   1.9;    5;   0.7;   1;    0.000;   2;   8.0;   8.3;  989.20;    4.8;   93.00;    6.7;    2.9;    3.7;eor
       1639;19390111;    5;-999;   2.1;    5;   0.0;   1;    0.000;   0;   8.0;   7.6;  983.90;    4.4;   92.00;    4.7;    2.7;    1.7;eor
       1639;19390112;    5;-999;   2.3;    5;   1.0;   1;    0.000;   0;   8.0;   7.2;  978.30;    4.2;   87.00;    5.6;    1.8;    0.7;eor
