STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       1691;19470101;-999;-999;-999;    5;   1.0;   7;-999;   0;   7.0;   4.3;  999.10;   -2.3;   82.00;   -1.2;   -4.5;   -6.5;eor
       1691;19470102;-999;-999;-999;    5;   0.1;   7;-999;   1;   7.7;   5.2; 1003.00;   -0.2;   88.00;    0.9;   -2.6;   -4.9;eor
       1691;19470103;-999;-999;-999;    5;   0.0;   0;-999;   1;   7.7;   4.8; 1010.70;   -1.2;   83.00;    0.3;   -3.6;   -1.6;eor
       1691;19470104;-999;-999;-999;    5;   0.0;   0;-999;   0;   2.0;   2.4; 1015.00;   -9.2;   75.00;   -2.0;  -12.0;   -8.8;eor
       1691;19470105;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   1.5; 1009.00;  -13.2;   69.00;  -11.3;  -14.6;  -18.5;eor
       1691;19470106;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   1.5; 1003.50;  -13.6;   66.00;  -10.3;  -15.5;  -19.2;eor
       1691;19470107;-999;-999;-999;    5;   0.0;   0;-999;   0;   0.0;   1.3;  999.90;  -16.7;   75.00;  -13.4;  -18.4;  -22.5;eor
       1691;19470108;-999;-999;-999;    5;   0.0;   7;-999;   0;   6.0;   1.9; 1000.70;  -12.4;   79.00;  -10.3;  -18.3;  -20.7;eor
       1691;19470109;-999;-999;-999;    5;   0.5;   7;-999;   0;   8.0;   4.4;  995.20;   -3.0;   90.00;   -1.4;  -10.5;  -11.0;eor
       1691;19470110;-999;-999;-999;    5;   0.4;   8;-999;   1;   8.0;   5.7;  997.80;   -1.0;   93.00;    1.9;   -3.5;   -2.9;eor
       1691;19470111;-999;-999;-999;    5;   4.1;   7;-999;   1;   8.0;   3.7;  992.60;   -4.8;   86.00;   -3.2;   -5.5;   -5.7;eor
       1691;19470112;-999;-999;-999;    5;   0.5;   1;-999;   4;   7.0;   6.7;  985.60;    3.5;   85.00;    4.4;   -5.4;   -5.5;eor
       1691;19470113;-999;-999;-999;    5;   3.3;   1;-999;   0;   5.3;   7.3;  983.80;    3.8;   88.00;    6.1;    1.9;    0.5;eor
       1691;19470114;-999;-999;-999;    5;   1.7;   1;-999;   0;   6.3;   6.7;  995.00;    3.8;   83.00;    5.5;    2.1;   -0.2;eor
