STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       2261;19470101;-999;-999;-999;    5;   0.6;   7;    0.000;   7;   8.0;   3.6;  947.90;   -5.6;   92.00;   -4.6;   -8.4;-999;eor
       2261;19470102;-999;-999;-999;    5;   0.3;   7;    0.000;   8;   8.0;   4.3;  951.80;   -3.7;   91.00;   -2.3;   -5.4;-999;eor
       2261;19470103;-999;-999;-999;    5;   0.0;   0;    0.000;   8;   7.3;   3.7;  957.80;   -5.2;   89.00;   -3.0;   -7.1;-999;eor
       2261;19470104;-999;-999;-999;    5;   0.0;   0;    7.100;   8;   0.0;   2.0;  960.40;  -12.5;   79.00;   -6.0;  -16.5;-999;eor
       2261;19470105;-999;-999;-999;    5;   0.0;   0;    7.200;   8;   0.0;   1.2;  954.60;  -17.2;   75.00;  -11.8;  -21.1;-999;eor
       2261;19470106;-999;-999;-999;    5;   0.0;   0;    7.200;   8;   0.0;   1.2;  948.30;  -18.0;   76.00;  -11.1;  -21.6;-999;eor
       2261;19470107;-999;-999;-999;    5;   0.0;   0;    7.200;   8;   0.3;   1.1;  944.70;  -19.6;   78.00;  -14.1;  -24.7;-999;eor
       2261;19470108;-999;-999;-999;    5;   0.0;   7;    0.000;   8;   8.0;   2.0;  947.20;  -12.4;   83.00;  -10.5;  -21.6;-999;eor
       2261;19470109;-999;-999;-999;    5;   0.3;   7;    0.000;   8;   8.0;   4.4;  945.20;   -3.2;   94.00;   -1.0;  -10.6;-999;eor
       2261;19470110;-999;-999;-999;    5;   0.5;   7;    0.000;   9;   7.3;   5.5;  946.30;   -1.0;   97.00;   -0.1;   -2.7;-999;eor
       2261;19470111;-999;-999;-999;    5;   3.9;   8;    0.000;  10;   8.0;   5.3;  942.20;   -1.2;   95.00;   -0.4;   -2.4;-999;eor
       2261;19470112;-999;-999;-999;    5;   1.2;   8;    0.500;  12;   7.7;   6.4;  935.90;    1.6;   92.00;    3.0;   -1.4;-999;eor
       2261;19470113;-999;-999;-999;    5;   5.7;   1;    0.000;   6;   7.7;   6.7;  937.50;    2.0;   95.00;    4.3;   -1.2;-999;eor
       2261;19470114;-999;-999;-999;    5;   3.5;   1;    0.300;   3;   8.0;   6.0;  946.70;    1.0;   92.00;    2.2;    0.4;-999;eor
       2261;19470115;-999;-999;-999;    5;   0.2;   1;    0.000;   0;   5.3;   7.7;  955.40;    3.8;   96.00;    5.4;    0.4;-999;eor
       2261;19470116;-999;-999;-999;    5;   0.0;   0;    7.500;   0;   1.0;   6.4;  958.60;    0.8;   92.00;    5.6;   -2.0;-999;eor
       2261;19470117;-999;-999;-999;    5;   0.3;   1;    4.800;   0;   4.7;   5.9;  954.30;    1.8;   85.00;    6.5;   -3.5;-999;eor
       2261;19470118;-999;-999;-999;    5;   0.7;   7;    3.500;   0;   6.7;   5.9;  958.00;    0.7;   91.00;    2.0;    0.5;-999;eor
       2261;19470119;-999;-999;-999;    5;   0.0;   1;    2.500;   1;   8.0;   5.3;  953.50;   -0.6;   90.00;    0.6;   -1.2;-999;eor
       2261;19470120;-999;-999;-999;    5;   1.7;   7;    4.300;   1;   7.0;   3.9;  949.40;   -3.6;   82.00;   -1.2;   -4.5;-999;eor
       2261;19470121;-999;-999;-999;    5;   0.4;   7;    0.200;   2;   6.3;   3.5;  949.10;   -5.8;   84.00;   -4.3;   -8.5;-999;eor
