STATIONS_ID;MESS_DATUM;QN_3;  FX;  FM;QN_4; RSK;RSKF; SDK;SHK_TAG;  NM; VPM;  PM; TMK; UPM; TXK; TNK; TGK;eor
       4752;19510101;-999;-999;-999;    5;   9.0;   8;    0.000;  23;   8.0;   4.4;  925.50;   -3.4;   96.00;   -1.5;  -10.0;  -12.6;eor
       4752;19510102;-999;-999;-999;    5;   0.0;   8;    0.600;  30;   7.8;   4.7;  920.00;   -3.2;   95.00;   -1.1;   -4.0;   -2.0;eor
       4752;19510103;-999;-999;-999;    5;   0.4;   7;    0.000;  25;   8.0;   4.8;  930.20;   -2.8;   98.00;   -2.3;   -4.7;   -7.6;eor
       4752;19510104;-999;-999;-999;    5;   4.3;   7;    1.300;  25;   6.6;   4.9;  942.20;   -2.6;   94.00;   -1.4;   -3.6;   -2.8;eor
       4752;19510105;-999;-999;-999;    5;   3.8;   8;    0.000;  29;   8.0;   6.1;  940.40;    0.4;   99.00;    2.0;   -3.6;   -4.6;eor
       4752;19510106;-999;-999;-999;    5;   0.0;   1;    1.500;  28;   5.0;   5.7;  938.20;    1.0;   84.00;    4.1;   -0.3;    0.0;eor
       4752;19510107;-999;-999;-999;    5;   2.6;   1;    0.000;  21;   8.0;   5.7;  934.70;    0.9;   87.00;    1.8;   -0.6;   -3.3;eor
       4752;19510108;-999;-999;-999;    5;   0.1;   7;    0.000;  16;   8.0;   6.3;  939.90;    0.7;   97.00;    1.3;    0.0;    0.0;eor
       4752;19510109;-999;-999;-999;    5;   2.4;   7;    0.100;  16;   6.6;   5.5;  938.20;   -0.9;   94.00;    0.8;   -1.8;   -2.5;eor
       4752;19510110;-999;-999;-999;    5;   0.0;   0;    5.200;  18;   3.8;   4.7;  942.60;   -1.9;   87.00;    1.4;   -3.1;  -11.0;eor
       4752;19510111;-999;-999;-999;    5;   0.0;   0;    0.000;  16;   8.0;   5.6;  931.80;    1.8;   81.00;    3.2;   -3.5;   -6.4;eor
       4752;19510112;-999;-999;-999;    5;   3.1;   8;    1.100;  15;   8.0;   6.3;  925.80;    1.8;   87.00;    4.9;    0.4;   -0.2;eor
       4752;19510113;-999;-999;-999;    5;   0.7;   7;    0.100;  14;   7.8;   6.1;  927.00;    0.1;  100.00;    0.5;   -0.3;   -0.4;eor
       4752;19510114;-999;-999;-999;    5;   0.0;   7;    0.000;  14;   8.0;   6.0;  934.80;    1.0;   94.00;    1.6;   -0.7;   -1.9;eor
       4752;19510115;-999;-999;-999;    5;  11.3;   7;    0.000;  11;   7.4;   5.7;  930.40;   -0.5;   95.00;    1.6;   -1.4;    0.0;eor
       4752;19510116;-999;-999;-999;    5;   2.1;   7;    0.600;  22;   7.8;   5.3;  948.00;   -1.0;   95.00;    0.2;   -2.0;   -3.2;eor
       4752;19510117;-999;-999;-999;    5;  17.8;   8;    0.000;  20;   8.0;   5.3;  944.80;   -1.5;   98.00;   -0.3;   -2.5;   -4.1;eor
       4752;19510118;-999;-999;-999;    5;  20.1;   8;    0.000;  32;   7.8;   6.5;  926.60;    1.3;   95.00;    2.1;   -1.6;   -1.8;eor
       4752;19510119;-999;-999;-999;    5;   9.8;   7;    0.000;  30;   7.8;   5.7;  933.60;   -0.2;   96.00;    1.1;   -0.5;   -0.4;eor
